1+2i + 3i                     1.00+5.00i
1-2.3i * 4                    4.00-9.20i
8 / 3.8-6i                    0.60+0.95i
92i * 3                       276.00i
8.888 + 3i                    8.89+3.00i
21.5 - 68.3                   -46.80
1 + 2                         3.00
6 < 2i                        false
4+5i / 2+6i                   0.95-0.35i
2.333 = 2.33                  false
6 * 3+2i                      18.00+12.00i
2 - 3                         -1.00
4-2i > 3+1i                   true
-5-8i * 3                     -15.00-24.00i
-6+2i - 8                     -14.00+2.00i
